Protein.IDs	LFQ.intensity.1_0h_RS1	LFQ.intensity.2_05h_RS1	LFQ.intensity.3_1h_RS1	LFQ.intensity.4_2h_RS1	LFQ.intensity.5_8h_RS1	LFQ.intensity.6_16h_RS1	LFQ.intensity.7_24h_RS1	LFQ.intensity.8_30h_RS1	LFQ.intensity.1_0h_RS3	LFQ.intensity.2_05h_RS3	LFQ.intensity.3_1h_RS3	LFQ.intensity.4_2h_RS3	LFQ.intensity.5_8h_RS3	LFQ.intensity.6_16h_RS3	LFQ.intensity.7_24h_RS3	LFQ.intensity.8_30h_RS3
ENSG00000033178	NA	NA	21.1493576400797	21.6589662925042	NA	20.6239064889683	NA	20.6171948105751	22.3080256643353	21.9105329432891	22.2752037936071	22.0571535514577	21.7367371831255	21.8150329874265	22.2309304669757	NA
ENSG00000188739	19.5615266241365	20.6252450858919	21.2798576526133	18.5365887223866	20.6292534406972	18.3946469051452	18.4935740362344	19.6315287891306	17.8570211787787	17.917651788989	18.3795814348513	19.1840326726422	17.8686417243784	18.5877262500599	15.9588245544622	18.3739866295143
NA	NA	21.3902130486998	NA	21.1973654940839	20.7467340834118	NA	NA	20.4830599778717	20.4609397745781	NA	NA	NA	NA	20.0454023982834	20.3423438283324	NA
NA	18.3567700351086	17.8197799318385	18.4219333193101	18.2447447520634	18.6877378974635	17.4972437265865	18.0040997391589	NA	NA	NA	18.2655417965014	19.5517420518629	NA	16.8495272752325	NA	18.0006382583942
ENSG00000159593	21.1079551766161	20.5401885936847	21.0813481999001	20.7148156667023	20.5088161049173	NA	20.1357092861044	19.3412147550383	21.6005045964432	NA	21.4342555994849	20.4941407147308	19.9295040389244	19.767201650528	NA	19.8454594227524
ENSG00000107819	21.8527382739819	NA	21.4005688652828	NA	NA	21.8213146600711	21.7314019040492	NA	21.5990974211167	21.4954100482045	20.9579437233906	21.2564943533795	21.5351652441844	21.0269529322144	NA	20.6638811901448
ENSG00000184207	21.2927193006248	NA	20.9509858302777	21.4505568397682	NA	NA	20.3126303977488	NA	NA	21.6366617890591	22.3875598519264	22.2383265955816	22.2648491714414	21.7824079889854	22.0328824704105	22.3379963938512
ENSG00000205765	21.5174925462828	21.1282385568557	NA	21.2716180421773	20.0283701511733	20.8570363707193	20.8816636634979	20.2510708983285	NA	NA	21.9223419472326	21.0197101661932	20.6873961885465	20.3036291516563	NA	21.0194387022652
ENSG00000165609	24.1674487733735	NA	23.9865038484642	23.9856355919136	23.4878753535491	23.6361085872267	NA	22.9580853723884	NA	24.2233931115079	24.269208309785	24.1801034054629	NA	NA	24.0696457781606	NA
ENSG00000132471	18.5781736465742	16.5585701890131	NA	17.0014081943928	NA	17.007662424618	NA	NA	NA	16.6288442084099	17.6900934856729	17.8247598989541	NA	17.0108340255001	NA	18.1338546321126
NA	21.757354196789	21.7552364191355	NA	21.6386073737411	21.8160101980257	19.9310058085127	21.5757017299584	22.1979053687443	21.9014650166205	22.1654872987099	21.6740922461365	21.9089950448765	21.6321414531692	NA	NA	NA
ENSG00000165169	20.6078359775901	NA	20.6557822560815	NA	20.6150404621794	20.9200533097004	NA	19.3962159275523	20.7366133306946	20.546796512903	20.3086367757082	20.1128619822096	NA	19.8379358526315	NA	NA
ENSG00000159111	20.5524364537875	20.2375974387764	NA	19.0945004171957	20.4555319151148	NA	19.5989975048829	20.5028085005257	20.2472507206621	NA	NA	NA	NA	19.9317128316153	20.4577375646688	NA
